Final.Index,Authors,Pub.Year,Journal,Vol.p-p,Study.ID,Species,Taxon.group,Study.type,Year.span,Year,Population,Lat.Decimal.Degrees,Long.Decimal.Degrees,TemporalDataset,SpatialDataset,GenericYr,GenericSpp,Season,Generic.Population,Trait,Sex,Age,Fitness.Measure,Trait.Name,Trait.Class,Generic.Trait.Class,Fitness.Measure.Defined,Fit.Comp,N,Grad.linear.value,Grad.linear.StErr,Grad.linear.p-value,Grad.quad.value,Grad.quad.StErr,Grad.quad.p-value,Diff.linear.value,Diff.linear.StErr,Diff.linear.p-value,Diff.quad.value,Diff.quad.StErr,Diff.quad.p-value
1,Petit and Thompson,1998,Journal of Ecology,86:829-840,1,Arrhenatherum elatius,P,L,1995,1995,Laverune,43.5847,3.8042,1,1,1,1,1,1,1,1,1,1,date of initial flowering,Phenology,Phenology,annual seed production,F,52,0.11,0.3,ns,,,,,,,,,
2,Petit and Thompson,1998,Journal of Ecology,86:829-840,1,Arrhenatherum elatius,P,L,1995,1995,Laverune,43.5847,3.8042,2,2,1,1,1,1,2,1,1,1,flowering duration,Phenology,Phenology,annual seed production,F,52,0.3,0.31,ns,,,,,,,,,
3,Petit and Thompson,1998,Journal of Ecology,86:829-840,1,Arrhenatherum elatius,P,L,1995,1995,Laverune,43.5847,3.8042,3,3,1,1,1,1,3,1,1,1,flowering synchronization,Phenology,Phenology,annual seed production,F,52,0.3,0.32,ns,,,,,,,,,
4,Petit and Thompson,1998,Journal of Ecology,86:829-840,1,Arrhenatherum elatius,P,L,1995,1995,Laverune,43.5847,3.8042,4,4,1,1,1,1,4,1,1,1,stem height ,OtherMO,OMO,annual seed production,F,52,0.21,0.19,ns,,,,,,,,,
5,Petit and Thompson,1998,Journal of Ecology,86:829-840,1,Arrhenatherum elatius,P,L,1995,1995,Laverune,43.5847,3.8042,5,5,1,1,1,1,5,1,1,1,leaf surface area,OtherMO,OMO,annual seed production,F,52,0.54,0.21,<0.05,,,,,,,,,
6,Petit and Thompson,1998,Journal of Ecology,86:829-840,1,Arrhenatherum elatius,P,L,1996,1996,Laverune,43.5847,3.8042,1,6,2,1,1,1,1,1,1,1,date of initial flowering,Phenology,Phenology,annual seed production,F,61,-0.09,0.17,ns,,,,,,,,,
7,Petit and Thompson,1998,Journal of Ecology,86:829-840,1,Arrhenatherum elatius,P,L,1996,1996,Laverune,43.5847,3.8042,2,7,2,1,1,1,2,1,1,1,flowering duration,Phenology,Phenology,annual seed production,F,61,-0.02,0.19,ns,,,,,,,,,
8,Petit and Thompson,1998,Journal of Ecology,86:829-840,1,Arrhenatherum elatius,P,L,1996,1996,Laverune,43.5847,3.8042,3,8,2,1,1,1,3,1,1,1,flowering synchronization,Phenology,Phenology,annual seed production,F,61,-0.23,0.2,ns,,,,,,,,,
9,Petit and Thompson,1998,Journal of Ecology,86:829-840,1,Arrhenatherum elatius,P,L,1996,1996,Laverune,43.5847,3.8042,4,9,2,1,1,1,4,1,1,1,stem height ,OtherMO,OMO,annual seed production,F,61,0.43,0.16,<0.01,,,,,,,,,
10,Petit and Thompson,1998,Journal of Ecology,86:829-840,1,Arrhenatherum elatius,P,L,1996,1996,Laverune,43.5847,3.8042,5,10,2,1,1,1,5,1,1,1,leaf surface area,OtherMO,OMO,annual seed production,F,61,0.14,0.16,ns,,,,,,,,,
