Final.Index,Study.ID,Year,Lat_CRU,Long_CRU,AvgTempMean,SDTempMean,MinTempMin,MaxTempMax,AvgPrecip,MaxPrecip,MinPrecip,SDPrecip,AvgPET,MaxPET,MinPET,sdPET
1,1,1995,43.5847,3.8042,13.85,6.358029998,1.1,30.5,62.65,167,12.1,45.91885135,3,6.2,1,1.721521526
2,1,1995,43.5847,3.8042,13.85,6.358029998,1.1,30.5,62.65,167,12.1,45.91885135,3,6.2,1,1.721521526
3,1,1995,43.5847,3.8042,13.85,6.358029998,1.1,30.5,62.65,167,12.1,45.91885135,3,6.2,1,1.721521526
4,1,1995,43.5847,3.8042,13.85,6.358029998,1.1,30.5,62.65,167,12.1,45.91885135,3,6.2,1,1.721521526
5,1,1995,43.5847,3.8042,13.85,6.358029998,1.1,30.5,62.65,167,12.1,45.91885135,3,6.2,1,1.721521526
6,1,1996,43.5847,3.8042,13.45,6.047313453,1.1,28.7,95.275,188.8,27.8,54.69756726,2.991666667,6,1.1,1.737531338
7,1,1996,43.5847,3.8042,13.45,6.047313453,1.1,28.7,95.275,188.8,27.8,54.69756726,2.991666667,6,1.1,1.737531338
8,1,1996,43.5847,3.8042,13.45,6.047313453,1.1,28.7,95.275,188.8,27.8,54.69756726,2.991666667,6,1.1,1.737531338
9,1,1996,43.5847,3.8042,13.45,6.047313453,1.1,28.7,95.275,188.8,27.8,54.69756726,2.991666667,6,1.1,1.737531338
10,1,1996,43.5847,3.8042,13.45,6.047313453,1.1,28.7,95.275,188.8,27.8,54.69756726,2.991666667,6,1.1,1.737531338
11,1,1995,44.0534,3.9865,8.741666667,6.346718312,-3.3,25.2,90.59166667,238.7,14.3,63.19183575,2.408333333,5.3,0.8,1.48902551
12,1,1995,44.0534,3.9865,8.741666667,6.346718312,-3.3,25.2,90.59166667,238.7,14.3,63.19183575,2.408333333,5.3,0.8,1.48902551
13,1,1995,44.0534,3.9865,8.741666667,6.346718312,-3.3,25.2,90.59166667,238.7,14.3,63.19183575,2.408333333,5.3,0.8,1.48902551
14,1,1995,44.0534,3.9865,8.741666667,6.346718312,-3.3,25.2,90.59166667,238.7,14.3,63.19183575,2.408333333,5.3,0.8,1.48902551
15,1,1995,44.0534,3.9865,8.741666667,6.346718312,-3.3,25.2,90.59166667,238.7,14.3,63.19183575,2.408333333,5.3,0.8,1.48902551
16,1,1996,44.0534,3.9865,8.316666667,6.022357336,-4.1,23.1,135.1083333,267.3,42.1,77.92204097,2.45,5.1,0.8,1.470003092
17,1,1996,44.0534,3.9865,8.316666667,6.022357336,-4.1,23.1,135.1083333,267.3,42.1,77.92204097,2.45,5.1,0.8,1.470003092
18,1,1996,44.0534,3.9865,8.316666667,6.022357336,-4.1,23.1,135.1083333,267.3,42.1,77.92204097,2.45,5.1,0.8,1.470003092
19,1,1996,44.0534,3.9865,8.316666667,6.022357336,-4.1,23.1,135.1083333,267.3,42.1,77.92204097,2.45,5.1,0.8,1.470003092
20,1,1996,44.0534,3.9865,8.316666667,6.022357336,-4.1,23.1,135.1083333,267.3,42.1,77.92204097,2.45,5.1,0.8,1.470003092
21,2,1998,42.6,-7.3167,11.75,5.029820167,-0.3,26.8,71.73333333,172.4,24.2,43.62387448,2.608333333,5,0.7,1.428577381
22,2,1998,42.6,-7.3167,11.75,5.029820167,-0.3,26.8,71.73333333,172.4,24.2,43.62387448,2.608333333,5,0.7,1.428577381
23,2,1998,42.6,-7.3167,11.75,5.029820167,-0.3,26.8,71.73333333,172.4,24.2,43.62387448,2.608333333,5,0.7,1.428577381
24,2,1998,42.6,-7.3167,11.75,5.029820167,-0.3,26.8,71.73333333,172.4,24.2,43.62387448,2.608333333,5,0.7,1.428577381
25,2,1999,42.6,-7.3167,11.54166667,5.565879549,-0.9,26.8,100.0666667,187,18.3,56.35445184,2.566666667,5.1,0.8,1.483443986
26,2,1999,42.6,-7.3167,11.54166667,5.565879549,-0.9,26.8,100.0666667,187,18.3,56.35445184,2.566666667,5.1,0.8,1.483443986
27,2,1999,42.6,-7.3167,11.54166667,5.565879549,-0.9,26.8,100.0666667,187,18.3,56.35445184,2.566666667,5.1,0.8,1.483443986
